class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,member_of,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,related_to,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,notable_work,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,interested_in,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16444.0,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,present_in_work,,,,,,,,,,,,,,,,
Agent,Francesco Rampazetto,Francesco Rampazetto.md,Francesco Rampazetto,HwmQgfH5MtNT,329001904832529253252,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q112541351
