class,aliases,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,identifier,,,,,,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeSwbYZtf6jQ,(Di Cintio 2017),,,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLeh7vn7FH8w,Milano,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,member_of,,,,,,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeSwbYZtf6jQ', 'label': '(Di Cintio 2017)'}]",patron of the arts,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,related_to,,,,,,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,notable_work,,,,,,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bHJG3dg7VrRb,music making,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,['Don Antonio Londino'],Antonio Londonio,Antonio Londonio.md,Antonio Londonio,XzpmTj6ifoij,619011972444958303175,present_in_work,,,,,,,,,,,,,,,,,,,
