class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_IIIF_manifest,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,identifier,https://edit16.iccu.sbn.it/titolo/CNCE016362,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T4QqNLwvD5Lj,comedy,,,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,title,,,,,,"Angelica, comedia de Fabritio de Fornaris napolitano ditto il Capitano Coccodrillo Comico Confidente",,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,inception,,,,,,,1585.0,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE016362,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",1585.0,https://dl.unito.it/fedora/objects/mag:39707/datastreams/MMIIIF/content,https://dl.unito.it/it/ricerca/digitale/?id=mag:39707,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GPUAXAA7MpJN,Fabrizio de Fornaris,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,based_on,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KdpUz4v9w5E3,Angelica,,
Book,"Angelica, comedia de Fabritio de Fornaris","Angelica, comedia de Fabritio de Fornaris.md","Angelica, comedia de Fabritio de Fornaris",9KkjiNeoXJSF,150877274787604512778,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
