class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,work_location,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,member_of,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6RgqN6Ar8wnq,translator,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rfdm5oYMwDjo,cardinal,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,related_to,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,notable_work,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UoChhqc3tso7,Predica de i sogni,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awAM8fj5WJM4,Vitruvius,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,present_in_work,,,,,,,,,,,,,,,,,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q378870,,
Agent,['Hypneo da Schio'],Daniele Barbaro,Daniele Barbaro.md,Daniele Barbaro,cmUaXPEGtFwL,717356790779599222233,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020)
