class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_value,contributor_role,contributor_label,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,identifier,https://lyra.unil.ch/poems/5723,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,contributor,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hJLt5YvPFGMq,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",Pietro Gradenigo,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,part_of,,,,,,,,,2.0,98.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZLkECjPHfxmg,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bDmTfHcyfkqv,shepherd,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/82udY6Qaxxsk,natural spring,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,text,,,,,,,,,,,,,,,,,,,,,,,"Quando il Sol torna al Cancro, e cangiat'hanno
Le bionde spiche in bianco il verde vivo;
A pastor lassi il gran fervore estivo
Tempran le piante, che spess'ombra fanno:

E gli stanchi corrier, ch'in fretta vanno;
Scoprono allegri una fontana, o un rivo:
Onde bevendo, un breve, fuggitivo
Riposo prendon del passato affanno.

Così quest'alma travagliata, e lassa
Ne l'amoroso ardor s'adagia, e posa
A l'ombra vostra, al fonte di pietade:

In qual tempra la sete, ma non lassa
Satia giamai la mia voglia bramosa
De le dolci acque, e de l'alma beltade.",,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",XhQB27hcAyDv,612701132045801241991,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
