class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_IIIF_manifest,has_version_holding_institution,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,title,,,"Le piaceuoli rime di Cesare Caporali. Di nuouo in questa terza impressione accresciute d'altre graui, per l'adietro non più date in luce",,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,inception,,,,1585.0,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,has_version,,,,,https://edit16.iccu.sbn.it/titolo/CNCE009206,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10208014/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10208014,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLeh7vn7FH8w', 'label': 'Milano'}]",1585.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqMRV6EiJGbK', 'label': 'Pietro Tini'}",,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cDXocHJozvQ7,Filippo Alberti,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Y969p9irXR5,Cesare Caporali,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,subject,,,,,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,depicts,,,,,,,,,,,,,,,,,,,,,
Book,Le piacevoli rime di Cesare Caporali,Le piacevoli rime di Cesare Caporali.md,Le piacevoli rime di Cesare Caporali,iBfCR98WRw2Y,828930459295372025298,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
