class,aliases,base_name,filename,label,id,n_id,property,part_of_value,part_of_label,citation_value,isbn_value,identifier_value
BibliographicResource,['cosentinoDeeImperatriciCortigiane2020'],(Cosentino 2020),(Cosentino 2020).md,(Cosentino 2020),nqdAXunx4Ce4,925218412942243470986,part_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzDB9FgKgMET,"(Everson, Reidy, and Sampson 2020)",,,
BibliographicResource,['cosentinoDeeImperatriciCortigiane2020'],(Cosentino 2020),(Cosentino 2020).md,(Cosentino 2020),nqdAXunx4Ce4,925218412942243470986,citation,,,"Cosentino, Paola. 2020. ‘Dee, Imperatrici, Cortigiane: La Natura Della Donna Nei Romanzi Degli Incogniti (Venezia)’. In _The Italian Academies 1525-1700: Networks of Culture, Innovation and Dissent_, edited by Jane E. Everson, Denis V. Reidy, and Lisa Sampson, 292–305. Italian Perspectives 31. London New York: Routledge, Taylor & Francis Group.",,
BibliographicResource,['cosentinoDeeImperatriciCortigiane2020'],(Cosentino 2020),(Cosentino 2020).md,(Cosentino 2020),nqdAXunx4Ce4,925218412942243470986,isbn,,,,978-0-367-59848-8,
BibliographicResource,['cosentinoDeeImperatriciCortigiane2020'],(Cosentino 2020),(Cosentino 2020).md,(Cosentino 2020),nqdAXunx4Ce4,925218412942243470986,identifier,,,,,
