class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,identifier,https://rism.online/sources/990048588,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV15900010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,title,,,,,,"Madrigali nuovi a voce pare composti per il doct. musico messer Giordano Passetto, maestro di capella, del Domo di Padoa. Libro primo",,,,,,,,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,inception,,,,,,,1541.0,,,,,,,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE044997,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",1541.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00088762,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00088762/manifest,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE044997,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",1541.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gY5iKo8jFYhR', 'label': 'Zentralbibliothek Zürich'}",,,,,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBAnYgsHn6aH,Giordano Passetto,,,,,
NotatedMusic,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,,,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo,Madrigali nuovi a voci pari composti per il doct. musico messer Giordano Passetto. Libro Primo.md,5Wu239iJ9RnY,72368559738856521306,subject,,,,,,,,,,,,,,,,,,,,,
