class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,identifier,https://lyra.unil.ch/poems/13389,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jdU8LTzmAMxT,Bartolomeo Arnigio,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ew34m9NBYVrU,109.0,Del Solingo,Rime de gli Academici Occulti con le loro imprese et discorsi,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,HEXvHsbawzmg,314072916110192617259,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,,
