class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,identifier,http://www.wikidata.org/entity/Q113382137,,,,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,work_location,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,member_of,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GUoXX75dGadB,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/C65NpuAXpJan', 'label': 'spouse'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR', 'label': '(Nocerino 2014)'}]",Cesare Marotta,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Recupito,,,Ippolita Recupito,Ippolita Recupito.md,aT5dRnP7TasF,669422630754536063803,present_in_work,,,,,,,,,,,,,,,,,,,
