class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,instance_of,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,inception,,,,1598.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",231.0,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,member,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Illuminati di Roma,,['Accademia degli Illuminati di Farnese'],Accademia degli Illuminati di Roma,Accademia degli Illuminati di Roma.md,nCZMgsUkp7aw,911799017065780737827,motto,,,,,,,,,,,,,,,,,
