class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,identifier,http://www.wikidata.org/entity/Q110215173,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK,(Teza 2017),,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,work_location,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Accademia degli Insensati di Perugia,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jNwME2rcQTYG,astronomer,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,related_to,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,notable_work,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,interested_in,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Lauri,,['Giovanni Battista Lauro'],Giovanni Battista Lauri,Giovanni Battista Lauri.md,3CsYpShWTUtc,24570888490304588794,catalog_identifier,,,,,,,,,,,,,,,,,
