class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,identifier,http://www.wikidata.org/entity/Q4785229,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,work_location,,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GiHfDP4DdMdp,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Incogniti di Venezia,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z6wHiMofdhxP,Christian nun,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,related_to,,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Agent,Arcangela Tarabotti,,['Elena Cassandra Tarabotti'],Arcangela Tarabotti,Arcangela Tarabotti.md,JGcXMZEzmdpU,335462084295182358329,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0048
