class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,identifier,http://www.wikidata.org/entity/Q12956187,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,work_location,,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,member_of,,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b2Pjd8pbW3VZ', 'label': 'creation'}",Torquato Tasso,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,notable_work,,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,interested_in,,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Argante,,,Argante,Argante.md,iYYfa4mHSLTk,836491725054241730658,present_in_work,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso"
