class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,identifier,,,,,,,,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kh6VwMSVUp3m,(Eco 2017),,,,,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,title,,,,,,Arithmologia sive De abditis Numerorum mysteriis,,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,inception,,,,,,,1665.0,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,has_version,,,,,,,,https://diglib.hab.de/drucke/1-1arithm/start.htm,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/C2TRdPGCZXK5', 'label': 'Herzog August Library'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]",1665.0,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gGnmBbze2MnW,Athanasius Kircher,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RmaA75A9H4A7,ars combinatoria,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JhRaHtEjNU96,astrology,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,based_on,,,,,,,,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,catalog_identifier,,,,,,,,,,,,,,,,,,,
Book,Arithmologia sive De abditis Numerorum mysteriis,,,Arithmologia sive De abditis Numerorum mysteriis,Arithmologia sive De abditis Numerorum mysteriis.md,APuihfyvsfME,173018358374568146412,has_part,,,,,,,,,,,,,,,,,,,
