class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_permalink,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,identifier,https://edit16.iccu.sbn.it/titolo/CNCE048459,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5U7zDmFybPEx,(Bolzoni 2012),,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,title,,,,,,"Cento giuochi liberali, et d'ingegno, nouellamente da m. Innocentio Ringhieri gentilhuomo bolognese ritrouati, et in dieci libri descritti",,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,inception,,,,,,,1553.0,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,has_version,,,,,,,,1553.0,https://edit16.iccu.sbn.it/titolo/CNCE048459,https://www.digitale-sammlungen.de/en/view/bsb10163860,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f3PQEHDnuHSf', 'label': 'Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GPMcFdEhTx7X', 'label': 'Giovanni Maria Bonelli'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10163860/manifest,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VqqMyHJijEkn,Caterina de' Medici,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/drYc2kkZgZmi,Innocenzio Ringhiero,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JCBpTmtUqcFv,parlour game,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,"Cento giuochi liberali, et d'ingegno",,,"Cento giuochi liberali, et d'ingegno","Cento giuochi liberali, et d'ingegno.md",XLmkQV9MHrnh,605235533691309766353,has_part,,,,,,,,,,,,,,,,,,,,,,
