class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,identifier,http://www.wikidata.org/entity/Q3766123,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,described_by_source,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,work_location,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Cqn6uHL6LDhS,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Oziosi di Napoli,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,related_to,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,notable_work,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,interested_in,,,,,,,,,,,,,,,,,
Agent,Giovanni Francesco Maia Materdona,,['Gianfrancesco Maia Materdona'],Giovanni Francesco Maia Materdona,Giovanni Francesco Maia Materdona.md,Ta8Zth2oHnjv,527524226091207371812,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5149.0
