class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,identifier,http://www.wikidata.org/entity/Q1134183,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,work_location,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,member_of,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fichLUAEWcmA,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WBaaDcSW6iHF', 'label': 'husband'}",Virginia Ramponi-Andreini,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XBXTcUPpGVNf', 'label': 'child'}",Isabella Andreini,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Andreini,,"['Giovan Battista Andreini', 'Giambattista Andreini']",Giovanni Battista Andreini,Giovanni Battista Andreini.md,RGkwj2SrHSi5,479966911493581347855,present_in_work,,,,,,,,,,,,,,,,,,,
