class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,opposite_of_value,opposite_of_label,identifier_value
Concept,['vita'],life,life.md,life,hGWewhTdwcgZ,810050519816022780937,instance_of,,,,,
Concept,['vita'],life,life.md,life,hGWewhTdwcgZ,810050519816022780937,subclass_of,,,,,
Concept,['vita'],life,life.md,life,hGWewhTdwcgZ,810050519816022780937,opposite_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/D3F7Qwb9dCYu,death,
Concept,['vita'],life,life.md,life,hGWewhTdwcgZ,810050519816022780937,identifier,,,,,http://www.wikidata.org/entity/Q3
