class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,member_of,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,related_to,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,notable_work,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,interested_in,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,catalog_identifier,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,present_in_work,,,,,,,,,,,,,,,
Agent,Antonio Gardano,Antonio Gardano.md,Antonio Gardano,BAscdG7oumi7,188934444821251557962,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q602163
