class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,Repeating a word or phrase at the beginning of successive clauses in order to strengthen an argument.,anaphora,anaphora.md,anaphora,XLktudVaMszu,605230130641181972763,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RQhfkTQ6u2pJ,rhetorical figure,,
Concept,Repeating a word or phrase at the beginning of successive clauses in order to strengthen an argument.,anaphora,anaphora.md,anaphora,XLktudVaMszu,605230130641181972763,subclass_of,,,,
Concept,Repeating a word or phrase at the beginning of successive clauses in order to strengthen an argument.,anaphora,anaphora.md,anaphora,XLktudVaMszu,605230130641181972763,identifier,,,,http://www.wikidata.org/entity/Q486050
