class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,thorn,,"['spina', 'pickle', 'spinose structure']",thorn,thorn.md,dTnWFEd5MLzx,731589939731675606406,identifier,http://www.wikidata.org/entity/Q201851,
Concept,thorn,,"['spina', 'pickle', 'spinose structure']",thorn,thorn.md,dTnWFEd5MLzx,731589939731675606406,described_by_source,,
