class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value,described_by_source_value,described_by_source_label
Concept,"['alba amicorum', 'stammbuch', 'friendship book']",album amicorum,album amicorum.md,album amicorum,bgt4RadKQanj,695059805103229243865,instance_of,,,,,
Concept,"['alba amicorum', 'stammbuch', 'friendship book']",album amicorum,album amicorum.md,album amicorum,bgt4RadKQanj,695059805103229243865,subclass_of,,,,,
Concept,"['alba amicorum', 'stammbuch', 'friendship book']",album amicorum,album amicorum.md,album amicorum,bgt4RadKQanj,695059805103229243865,identifier,,,http://www.wikidata.org/entity/Q457843,,
Concept,"['alba amicorum', 'stammbuch', 'friendship book']",album amicorum,album amicorum.md,album amicorum,bgt4RadKQanj,695059805103229243865,described_by_source,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cvnPagTJkSUk,(Testa 2020)
