class,label,aliases,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value
Concept,art of memory,['ars memorandi'],art of memory,art of memory.md,mpPwPhnXcb3d,904136557511443228175,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TYSwPAjmpAM9,philosophical concept,
Concept,art of memory,['ars memorandi'],art of memory,art of memory.md,mpPwPhnXcb3d,904136557511443228175,subclass_of,,,
