class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_value,contributor_role,contributor_label,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,identifier,https://lyra.unil.ch/poems/5723,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,contributor,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HyW7U2u5ZqMV,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",Pietro Gradenigo,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,part_of,,,,,,,,,2.0,98.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FbBncPAsBQ7E,"De le rime di diuersi nobili poeti toscani, raccolte da m. Dionigi Atanagi",,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,"Quando il Sol torna al Cancro, e cangiat'hanno",,,"Quando il Sol torna al Cancro, e cangiat'hanno","Quando il Sol torna al Cancro, e cangiat'hanno.md",aqGrMkBfwctH,677458670812079163960,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
