class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,identifier,http://www.wikidata.org/entity/Q141016656,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,described_by_source,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,work_location,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,member_of,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd,editor,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,related_to,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kuMLasLJztzq,Della nova scelta di rime di diversi eccellenti scrittori de l'età nostra parte prima,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,interested_in,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Benedetto Varoli,,,Benedetto Varoli,Benedetto Varoli.md,3mr9S7Z4tCWu,36509030431352276076,present_in_work,,,,,,,,,,,,,,,,
