class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,identifier,http://www.wikidata.org/entity/Q1091136,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH,(Tostini 2017),,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,work_location,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,member_of,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9EG2tE8aFH7w,painter,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dgKg5TTeCUfa', 'label': 'employee'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,notable_work,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,interested_in,,,,,,,,,,,,,,,,,,
Agent,Cristoforo Roncalli,,"['Cristofano Pomarancio', 'Cristoforo Pomaranci']",Cristoforo Roncalli,Cristoforo Roncalli.md,cAg4ZC7SGWum,704758502375780441128,catalog_identifier,,,,,,,,,,,,,,,,,,
