class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,identifier,http://www.wikidata.org/entity/Q109990213,,,,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,described_by_source,,,,,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,member_of,,,,,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,related_to,,,,,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,notable_work,,,,,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,interested_in,,,,,,,,,,,,,,,,
Agent,Vitale Mascardi,,,Vitale Mascardi,Vitale Mascardi.md,hMewta6Vr8Jy,811913386347132603961,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",19166.0
