class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,identifier,https://edit16.iccu.sbn.it/titolo/CNCE037175,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,title,,,,,,Di Paolo Caracciolo gentil'huomo siciliano della città di Nicosia il primo libro de madrigali a cinque voci. Nuouamente posti in luce,,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,inception,,,,,,,1582.0,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037175,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}",1582.0,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00080477,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00080477/manifest,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MK34kE4AB5yU,Paolo Caracciolo,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,subject,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,has_part,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,,,Di Paolo Caracciolo il primo libro de madrigali a cinque voci,Di Paolo Caracciolo il primo libro de madrigali a cinque voci.md,QywUoo4wHMFY,474241245034283924442,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
