class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,identifier,http://id.sbn.it/bid/BVEE024626,,,,,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,described_by_source,,,,,,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,instance_of,,,[[comedy]],,,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,instance_of,,,[[libretto]],,,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,title,,,,"La turca comedia boschereccia, et maritima, di Gio. Battista Andreini fiorentino comico fedele",,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,inception,,,,,1611.0,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,has_version,,,,,,http://id.sbn.it/bid/BVEE024626,1620.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T8A5wcNzFW7v', 'label': 'Paolo Guerigli'}",https://teca.bncf.firenze.sbn.it/ImageViewer/servlet/ImageViewer?idr=BNCF0003837544,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cS2ZRx7FP2Cu,Giambattista Andreini,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,has_part,,,,,,,,,,,,,,,,,
Book,La turca comedia boschereccia,,,La turca comedia boschereccia,La turca comedia boschereccia.md,QY9WtWNCwgRN,464898476558059711937,based_on,,,,,,,,,,,,,,,,,
