class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG,Parma,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ixoXEAX9M2DD,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T9A9Qv8Z2mX8', 'label': '(Sampson 2020)'}]",Accademia degli Innominati di Parma,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,related_to,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,notable_work,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,interested_in,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15028.0,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,present_in_work,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4762891,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,oGuCnrkrFAY9,934009088366117596192,described_by_source,,,,,,,,,,,,,,,,,,,
