class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_holding_institution,has_version_permalink,has_version_note,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,identifier,http://id.sbn.it/bid/VIAE008330,,,,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,title,,,,,"Componimenti poetici delle piu' illustri rimatrici d'ogni secolo, raccolti da Luisa Bergalli. Parte prima [-seconda]",,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,inception,,,,,,,,,,,,,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,has_version,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10812949,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10812949/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",http://id.sbn.it/bid/VIAE008330,volume 2,,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,has_version,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10754251,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10754251/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",http://id.sbn.it/bid/VIAE008330,volume 1,1726.0,,,,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jUkaVk3KRX7R,Margherita Sarrocchi,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Su9JMubabftr,Innocenza Carrari,,,,
Book,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo.md,ENUbQJ8t6z8B,255040324079303002500,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c4Zf7mDdY26s,Barbara Torelli Benedetti,,,,
