class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,work_location,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,member_of,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fxEcFxXeUjcY,warrior,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,related_to,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,notable_work,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,interested_in,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,catalog_identifier,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,present_in_work,,,,,,,,,,,,,,
Agent,['Conte Estor Martinengo'],Nestore Martinengo,Nestore Martinengo.md,Nestore Martinengo,6k9EnVhc36fS,97794883842252540435,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q139207609
