class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,Dianora Sanseverino,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RKTcVMFKo3J8,Alla S. Dianora Terracina.,22.0,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YTAdfrxKFqwZ,Apollo,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/H7Qn9Ury9LHS,lyre,,,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,text,,,,,,,,,,,,,,,,,,,,,"Cantava un giorno la mia Nimpha, quando
Riprese Apollo in man l'amata lira;
E sì gioioso a la sua voce mira,
Che'l carro al più bel corso ha posto in bando.

Io che tal'odo anchor, bramosa n'andò
Ove l'altero suon dolce mi tira:
E con quella armonia che'l core aggira
Mi va quasi col corpo al ciel portando.

E benché nel partir habbia gran pena
Per lasciar qui di mei pensier'il pondo
Godo pur, ch'altra , non qual'era i sono.

Così tremante e d'allegrezza piena,
Lodo sovente il gran fattor del mondo:
Che tra noi die' sì glorioso dono.",,
PoeticWork,"Cantava un giorno la mia Nimpha, quando",,,"Cantava un giorno la mia Nimpha, quando","Cantava un giorno la mia Nimpha, quando.md",nWS4erMcLLL8,918269258554253317839,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
