class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,work_location,,,,,,,,,,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia degli Umoristi di Roma,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,related_to,,,,,,,,,,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,notable_work,,,,,,,,,,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,interested_in,,,,,,,,,,,,,,,,,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18427.0,,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q322022,,
Agent,"[""Francesco Bracciolini Dell'Api""]",Francesco Bracciolini,Francesco Bracciolini.md,Francesco Bracciolini,Bgy6ktDtV7y3,199830225584590158163,described_by_source,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7,(Nicolaci 2017)
