class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,contributor_value,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,identifier,http://id.sbn.it/bid/CFIE011325,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,title,,,,,,"Le scorse olimpiche. Trattamenti academici, del commend. conte Pietro Paolo Bissari prencipe dell'Academia olimpica. Libro primo",,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,inception,,,,,,,1648.0,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,has_version,,,,,,,,1648.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",http://id.sbn.it/bid/CFIE011325,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,contributor,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aZcsYMk8W84Z,salon,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WdY5JsWWztUd,republic of letters,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,has_part,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,based_on,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,LJT9hD2PdkYz,377398374549556517156,catalog_identifier,,,,,,,,,,,,,,,,
