class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,identifier,http://id.sbn.it/bid/VEAE004394,,,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F006910010,,,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,title,,,,,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra, Academico ferrarese, dedicati all'illustriss.mo et reuerendiss. sig. cardinale d'Este",,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,inception,,,,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,has_version,,,,,,,,http://id.sbn.it/bid/VEAE004394,1607.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ekvVXN4tzg9q', 'label': 'Reggio Emilia'}]",,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dZAxHiTJuqCF,Annibale Pocaterra,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,subject,,,,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,based_on,,,,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,catalog_identifier,,,,,,,,,,,,,,,,,
Book,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra","Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra.md",VjjrkrDYaLND,572278506000465756329,has_part,,,,,,,,,,,,,,,,,
