class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,identifier,http://www.wikidata.org/entity/Q35794,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,described_by_source,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,instance_of,,,[[university]],,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,inception,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,dissolved,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,location,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,official_website,,,,,,,https://cudl.lib.cam.ac.uk/,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,catalog_identifier,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,member,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,interested_in,,,,,,,,,,,
Organisation,University of Cambridge,,,University of Cambridge,University of Cambridge.md,bBBmbufTcKbQ,684305017348147678066,notable_work,,,,,,,,,,,
