class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,metre_value,metre_label,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2bhdRbc5uz6o,villanella,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SkU8K6nXSqeb,Andrea Calmo,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hiE7NEWM6ThN,Musica di Lodovico Agostini ferrarese sopra le rime bizzarre di m. Andrea Calmo,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,text,,,,,,,,,,,"Sapie cari signori
Che queste bizzarrie
È xe de varij autori
Che per contento sol de li so cori
S'è tolto spasso con ste fantasie
Così digand'andar de più saori.",,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UzQqDq2qMKwd,Venetian,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbxBVs3YAzhk,bizzarria,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,depicts,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,identifier,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/247410000010101_000000002400C,,
MusicComposition,Sapie cari signori (Agostini),Sapie cari signori (Agostini).md,Sapie cari signori (Agostini),TBmTYygpXuDU,519431756458776171188,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM
