class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,identifier,http://www.wikidata.org/entity/Q87718066,,,,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,work_location,,,,,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,member_of,,,,,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",actor,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,,poet,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,related_to,,,,,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dkhz3rcSxQsh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",forgery,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Bernardino Lombardi,,,Bernardino Lombardi,Bernardino Lombardi.md,jR5hhUB8LvPv,854422139499448799041,present_in_work,,,,,,,,,,,,,,,,,,,
