class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV87210010,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XmDmGAMTyDeA,manuscript,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,title,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,inception,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,has_version,,,,,,,,https://edl.cultura.gov.it/item/0qrnx8k0j4,https://edl-jarvis.cultura.gov.it/meta/iiif/445658a5-ba08-40f7-a76e-0a749c18a36d/manifest,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2BfZ8jdaqi8B,Alfonso Fontanelli,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,subject,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,has_part,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali di A. Fontanelli. I-MOe ms. F.1525,,,Madrigali di A. Fontanelli. I-MOe ms. F.1525,Madrigali di A. Fontanelli. I-MOe ms. F.1525.md,fevWXG5EMqmW,776894949187223822212,instrumentation,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
