class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8hA63a8Vkmdq,academia fictiva,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,inception,,,1560.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,dissolved,,,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,official_website,,,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",55.0,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,member,,,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,notable_work,,,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,related_to,,,,,,,,,,,,,,,
Organisation,Accademia dei Segreti di Napoli,Accademia dei Segreti di Napoli.md,Accademia dei Segreti di Napoli,DQqcyMMmPTqe,235262047601651932779,motto,,,,,,,,,,,,,,,
