class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fwobE2DWRXRY,Emperor Charles V,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Francesco Maria Santinelli]],,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,part_of,,,,,,,,"Canto VI, 43",Carlo Quinto,95-96,[[(Santinelli 1985)]],,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R4q38qZbHK3Y,Apollo,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,depicts,,,,,,,,,,,,,,,,,,,,[[classical elements]],,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,depicts,,,,,,,,,,,,,,,,,,,,[[gold]],,,,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Oh Phebo, oh Sole, universal Natura",,"O Phebo, o Sole, universal Natura","Oh Phebo, oh Sole, universal Natura","Oh Phebo, oh Sole, universal Natura.md",WYDNTrXuzmXy,588738342150221371225,text,,,,,,,,,,,,,,,,,,,,,,,,"Oh Phebo, oh Sole, universal Natura
Dal caotico Mondo al mondo uscita,
De la Terra, e del Ciel moto, e misura,
De la luce vital Fonte infinita
Tu de i quattro Elementi Essenza pura,
Di questa purità Semplice Vita,
Tu fluid'Or, Tu l'humido Thesauro,
Ch'al tuo Lume central s'indura in Auro."
