class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,gender,,,male,,,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,work_location,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTk9hoymKNbk,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J9rnQmjyXd4M', 'label': '(Corso 2017)'}]",Accademia delle Virtù,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeHYJAGwEQHj,,,Accademia dello Sdegno di Roma,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JeipotRf6rFA,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HEJhw7aUDJZz', 'label': '(Vagenheim 2017)'}]",Pirro Ligorio,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kw3fHBF6Lnp4,classical antiquity,,
Agent,Francesco Maria Molza,Francesco Maria Molza.md,Francesco Maria Molza,55W2N4Jbdjz3,63171679784774628382,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18090.0
