class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_permalink,has_version_external_source,has_version_publication_date,has_version_note,has_version_place_of_publication,has_version_holding_institution,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,identifier,https://edit16.iccu.sbn.it/titolo/CNCE002697,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,title,,,,,,"Orlando furioso. Di m. Lodovico Ariosto, tutto ricorretto et di nuoue figure adornato. Alquale [!] di nuouo sono aggiunte le Annotationi, gli auuertimenti, et le dichiarationi di Girolamo Ruscelli, la vita dell'autore, descritta dal signor Giouambattista Pigna",,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,inception,,,,,,,1556.0,,,,,,,,,,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,has_version,,,,,,,,https://gallica.bnf.fr/iiif/ark:/12148/bd6t5772384v/manifest.json,https://edit16.iccu.sbn.it/titolo/CNCE002697,https://gallica.bnf.fr/ark:/12148/bd6t5772384v,1556.0,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3vWFDkJPoCzX', 'label': 'Vincenzo Valgrisi'}",,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,has_version,,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10165929/manifest,https://mdz-nbn-resolving.de/details:bsb10165929,https://www.digitale-sammlungen.de/en/view/bsb10165929,1565.0,Reprint,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3vWFDkJPoCzX', 'label': 'Vincenzo Valgrisi'}",,,,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,contributor,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,contributor,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7pUzikYB2CFB', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,Girolamo Ruscelli,,,,,,,
Book,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli",,,"Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli","Orlando furioso di m. Lodovico Ariosto, tutto ricorretto et di nuove figure adornato. Alquale di nuovo sono aggiunte le Annotazioni, gli avvertimenti, et le dichiarazioni di Girolamo Ruscelli.md",6fm7RK89sRRP,96212548395318396978,subject,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EQa8x6MU8Hoz,art print,,,,,
