class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,inception,,,,,1546.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,dissolved,,,,,,,1562.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16.0,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,member,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,related_to,,,,,,,,,,,,,,,,,,
Organisation,Accademia Bocchiana di Bologna,,,Accademia Bocchiana di Bologna,Accademia Bocchiana di Bologna.md,QNnWoWDC9jbb,461513137555928806530,motto,,,,,,,,,,,,,,,,,,
