class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UoNnKvS6oS98,Fortunato Martinengo Cesaresco,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d564otbkr4yr,67.0,Il Conte Fortunato Martinengo.,Rime di diversi eccellenti autori bresciani,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,depicts,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,text,,,,,,,,,,,,,,,,,,,,,"Quando de la mia dolce empia guerriera
Chiamo l'altero nome, che nel core
Sì saldamente mi descrisse Amore
Ond'altri nol può trar, che morte fera,

I primi accenti suoi, con gioia intera
Far mi ponno beato a tutte l'hore
L'alto in amor suo trionfal valore,
Fa che l'alma riacquisti, e fama vera;

Ma in fine il mio Signor m'accenna, e dice
Convien tenere il bel nome celato,
Che più oltre parlarne a te non lice;

Dunque viver mi fa sempre beato
Questa nova de i cor vera BEATRICE 
E scorge l'alma a fin chiaro e lodato.",,
PoeticWork,Quando de la mia dolce empia guerriera,,,Quando de la mia dolce empia guerriera,Quando de la mia dolce empia guerriera.md,SxUfGiL3CwoX,514980686972618320007,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
