class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,identifier,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XnpJ3vZQnbp,(Geremicca 2017),,,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvdngmrfmwNS,Raffaello da Montelupo,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,Benedetto Varchi,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,part_of,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,based_on,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,derivative_work,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,poetic_type,,,,,,,,,,,,,,,,,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TrNJvhKd8rv2,sculptor,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iyAxqWyBQcFn,sculpture,
PoeticWork,Quella che 'n voi bontà quasi infinita,,,Quella che 'n voi bontà quasi infinita,Quella che 'n voi bontà quasi infinita.md,EdSae6LqbqRj,260458036662290007872,text,,,,,,,,,,,,,,,,,,,"Quella che 'n voi bontà quasi infinita
Amai, nel vostro e mio giovanil fiore,
E quella, non di lei virtù minore,
Di dare ai bronzi moto, ai i marmi vita,
Di giorno in giorno in voi col tempo è gita
Crescendo, sì che quella il primo honore
Quest' ha il secondo et vi nasce e vi muore
Il sol vostro valor doppio d'addita."
