class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,identifier_value
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,work_location,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,member_of,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2QDe7ywPhxhM,alchemist,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,related_to,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,notable_work,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,catalog_identifier,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,FyNJrcfNaa43,288307438968945543478,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140194189
