class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XxRSTJ4URZ2B,Maria Diamante Dolfi,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MQJsV2BJ226x,Di Mad. Diamante Dolfi.,42.0,"Rime diverse d'alcune nobilissime, et virtuosissime donne",,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Hoggi, s'Io non m'inganno, è giunto il giorno",,"[""Oggi, s'Io non m'inganno, è giunto il giorno""]","Hoggi, s'Io non m'inganno, è giunto il giorno","Hoggi, s'Io non m'inganno, è giunto il giorno.md",KeBx7fteDc9S,363906689520180990888,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
