class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_reference,interested_in_label,notable_work_value,related_to_reference,related_to_relationship,related_to_value,related_to_label
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,identifier,http://www.wikidata.org/entity/Q514377,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx,(Hendrix 2017),,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jX6SVft3KVN7,artist collective,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,inception,,,,,,1620.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx', 'label': '(Hendrix 2017)'}]",,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,dissolved,,,,,,,,1720.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx', 'label': '(Hendrix 2017)'}]",,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,official_website,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,member,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9nsxER67dMzP,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx', 'label': '(Hendrix 2017)'}]",initiation ritual,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgt4RadKQanj,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx', 'label': '(Hendrix 2017)'}]",album amicorum,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eRj7U7HDLrGe,,visual arts,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,notable_work,,,,,,,,,,,,,,,,,,,,,,
Organisation,Bentveughels,"16th-century collective of young Dutch artists based around Via Margutta, Rome.",,Bentveughels,Bentveughels.md,avjhw57XthFv,679439389206206549944,related_to,,,,,,,,,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/42Sx4NtoqEJx', 'label': '(Hendrix 2017)'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfzLsQJEZKc3', 'label': 'rival'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jbw4BmXheHcJ,Accademia di San Luca di Roma
