class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,despair,despair.md,despair,gcrqwjgvBQyM,796783541588539874608,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AUsLBHvK4xwg,emotion,,
Concept,despair,despair.md,despair,gcrqwjgvBQyM,796783541588539874608,subclass_of,,,,
Concept,despair,despair.md,despair,gcrqwjgvBQyM,796783541588539874608,identifier,,,,http://www.wikidata.org/entity/Q1747066
