class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,identifier,http://www.wikidata.org/entity/Q600041,,,,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,work_location,,,,,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LP96EhPo5SRe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia Ievoliana di Napoli,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,historian,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZoTyFnAARjr,Don Giovanni de' Medici,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,notable_work,,,,,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,interested_in,,,,,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Scipione Ammirato,,,Scipione Ammirato,Scipione Ammirato.md,mYbAUyG2xjYe,898415237744405004546,present_in_work,,,,,,,,,,,,,,,,,,
