class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oHLpPP9py2wr,Gironda Cerrini,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YTPwqrMcE5f4,Francesco Maria Calidoni,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dDAHQ24Hxp76,40.0,"Del Sig. Francesco Maria Calidonii. Invita la Signora Gironda Cerrini, Perugina a Cantare nel Dottorato del Bigaroli; e allude a' Fiori, e Stelle dell'Arma del medesimo.",Capricci poetici di diversi autori perugini ascritti all'augustissima Accademia degl'Insensati raccolti da Francesco Degli Oddi,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bHJG3dg7VrRb,music making,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DMPR5m5PZxqA,lute,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iNzQpg7zFBaG,flower,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DGVEXnoNEPuk,laurel,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kEaU6QpCkpAA,star,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,EWoH4wYnnA2n,258055224968685622733,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
