class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,member_of,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,related_to,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,notable_work,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,interested_in,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,catalog_identifier,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,U6A7AEa9PvuU,538032915456438439772,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q94983252
