class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,part_of_pages,part_of_volume,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ydztdw6QnLAs,Costanza Colonna,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CxoeEPW2RCZ6,Margherita Sarrocchi,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,part_of,,,,,,,,Alla Signora D. Costanza Colonna Sforza. Margherita Sarocchi.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LZGUG764AwQF,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,part_of,,,,,,,,Margherita Sarocchi.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,111.0,2.0,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Donna real, nel cui pudico seno",,,"Donna real, nel cui pudico seno","Donna real, nel cui pudico seno.md",HzRD6wrUvkYy,329959683969397113151,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
