class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_value
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,identifier,http://id.sbn.it/bid/MUS0273318,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV02370010,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,title,,,,,,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quatro et cinque voci con uno madrigale a sette,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,inception,,,,,,,1576.0,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,has_version,,,,,,,,1576.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3CTFrDwbyYAe,Vincenzo Bellavere,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,subject,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,has_part,,,,,,,,,,,,,,,,
NotatedMusic,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,"Only a mutilated Cantus part survives in the municipal library of Carcassonne, France.",,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette,Di Vincenzo Bell'Haver organista il terzo libro de madrigali a quattro et cinque voci con uno madrigale a sette.md,Z6QQKJ32vnwD,641303247397241323601,instrumentation,,,,,,,,,,,,,,,,
