class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9w9F6C279ynQ,Elena Cornaro Piscopia,,,,,,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,2.0,Elena Lucrezia Cornaro Piscopia.,169.0,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4dyo9zXijchN,religion,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GJNhc2VqDoFL,martyrdom,,,,,,,,
PoeticWork,"S'ottenebra la Terra, il Sol s'oscura",,,"S'ottenebra la Terra, il Sol s'oscura","S'ottenebra la Terra, il Sol s'oscura.md",D3Ea3TN4tYPx,227436718255792883019,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3DuQpTCq2E5E,sin,,,,,,,,
