class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,part_of,,,,,,,,169.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LNxSnoqrbvDw,Madrigali,Rime di madonna Gaspara Stampa,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rq5MFqmMSfYb,Cupid,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PEWn5KBtcVnB,arrow,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PkJjQdNqm3ok,thousand,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PkJjQdNqm3ok,thousand,,,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,L'empio tuo strale Amore,,,L'empio tuo strale Amore,L'empio tuo strale Amore.md,BQqRXiTibwrT,193988971991309465266,text,,,,,,,,,,,,,,,,,,,,,,,"L' EMPIO tuo strale Amore,
È più crudo, e più forte
Assai che quel di Morte,
Che per Morte una volta sol si more;
E tu col tuo colpire,
Uccidi mille, e non si può morire;
Dunque Amore, è men male
La Morte, che'l tuo strale."
