class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,work_location,,,,,,,,,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,member_of,,,,,,,,,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,notable_work,,,,,,,,,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,interested_in,,,,,,,,,,,,,
Agent,Luigi Transillo,Luigi Transillo.md,Luigi Transillo,QG8DUy9nrgZ9,459097651498123384741,catalog_identifier,,,,,,,,,,,,,
