class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,identifier,http://www.wikidata.org/entity/Q48547,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,described_by_source,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,work_location,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,member_of,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,occupation,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TgPgRL9rfGmQ,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}",Lorenzo Torrentino,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,notable_work,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,interested_in,,,,,,,,,,,,,,,
Agent,Cosimo I de' Medici,,,Cosimo I de' Medici,Cosimo I de' Medici.md,gaZCyojeZJWZ,795947381242192427866,catalog_identifier,,,,,,,,,,,,,,,
