class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,identifier,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,work_location,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,member_of,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,related_to,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,notable_work,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,interested_in,,,,,,,,,,,,,,,,,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0681,
Agent,Isabetta Coreglia,,,Isabetta Coreglia,Isabetta Coreglia.md,Y2PxbveLJoEy,619216460983717713460,present_in_work,,,,,,,,,,,,,,,,,
