class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=26594,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/018540000101_PPPP00015400C,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8qMTBqEnmhVL,Ludovico Ariosto,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,part_of,,,,,,,,,"Canto VII, 1",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AZTDzBBYAmC,travel,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/e6gvuCqGBEJ3,discovery,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,depicts,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Chi va lontan da la sua patria, vede",,,"Chi va lontan da la sua patria, vede","Chi va lontan da la sua patria, vede.md",TWW764eaLMtM,526212836597584269826,text,,,,,,,,,,,,,,,,,,,,,,,"Chi va lontan da la sua patria, vede
Cose, da quel che già credea, lontane;
Che narrandole poi, non se gli crede,
E stimato bugiardo ne rimane:
Che'l sciocco vulgo non gli vuol dar fede,
Se non le vede e tocca chiare e piane.
Per questo io so che l'inesperienza
Farà al mio canto dar poca credenza."
