class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,identifier,http://www.wikidata.org/entity/Q351485,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKtDLrjwskaN,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia delle Virtù,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,occupation,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kcNdFLYPtm5z,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",Jacopo Bonfadio,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dnKqeJdTP2sv,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}]",Vittoria Colonna,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Agent,Marcantonio Flaminio,,,Marcantonio Flaminio,Marcantonio Flaminio.md,2UELMf935mfP,9491128302415813872,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18091.0
